full_name_raw,full_name_fr,full_name_ar,full_name_en,full_name_es
Agency for Technical Cooperation and Development,Agence de coopération technique et de développement,وكالة للتعاون التقني والتنمية,Agency for Technical Cooperation and Development,Agencia de Cooperación Técnica y Desarrollo.
Catholic Relief Service,Service de secours catholique,خدمة الإغاثة الكاثوليكية,Catholic relief service,Servicio de alivio católico
Intersos Organization,Organisation interne,منظمة Intersos,INTERSOS ORGANIZATION,Organización de Intersos
Cooperative for Assistance and Relief Everywhere,Coopérative pour l'assistance et le soulagement partout,التعاونية للحصول على المساعدة والإغاثة في كل مكان,COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE,Cooperativa para asistencia y alivio en todas partes.
Cooperative for Assistance and Relief Everywhere,Coopérative pour l'assistance et le soulagement partout,التعاونية للحصول على المساعدة والإغاثة في كل مكان,COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE,Cooperativa para asistencia y alivio en todas partes.
Norwegian Church Aid,Aide norvégienne de l'église,المساعدات الكنيسة النرويجية,Norwegian Church Aid,Ayuda de la iglesia noruega
Al-Ghad for Women & Child Care,Al-Ghad pour les femmes et les garderies,الغد للرعاية النسائية والأطفال,AL-GHAD FOR WOMEN & CHILD CARE,Al-Ghad para mujeres y cuidado infantil
Women Rehabilitation Organization,Organisation de réadaptation des femmes,منظمة إعادة تأهيل النساء,WOMEN REHABILITATION ORGANIZATION,Organización de la rehabilitación de las mujeres
Tearfund Organization,Organisation Tearfund,منظمة المسمعة,Tearfund Organization,Organización de Tearfund
Terre Des Hommes - Lausanne,Terre des Hommes - Lausanne,Terre des Hommes - Lausanne,Terre des Men - Lausanne,Terre des Men - Lausanne
Relief International,Soulagement International,الإغاثة الدولية,International relief,Alivio internacional
United Nations HABITAT,Habitat des Nations Unies,موطن الأمم المتحدة,United Nations Habitat,Hábitat de las Naciones Unidas
United Nations HABITAT,Habitat des Nations Unies,موطن الأمم المتحدة,United Nations Habitat,Hábitat de las Naciones Unidas
World Food Programme,Programme alimentaire mondial,برنامج الأغذية العالمي,World Food Program,Programa Mundial de Alimentos
World Food Programme,Programme alimentaire mondial,برنامج الأغذية العالمي,World Food Program,Programa Mundial de Alimentos
International Rescue Committee,Comité international de secours,لجنة الإنقاذ الدولية,International Rescue Committee,Comité Internacional de Rescate
Preemptive Love Coalition,Coalition d'amour préventive,تحالف الحب الوقائي,Preemptive Love Coalition,Coalición de amor preventiva
Department of Violence Against Women Govnmt,Département de la violence contre les femmes govnmt,قسم العنف ضد المرأة Govnmt,Department of Violence Against Women Govnmt,Departamento de Violencia contra Mujeres Govnmt
Directorate of Outskirts Waters - Garmyan,Direction des eaux de périphérie - Garmyan,مديرية مشارف المياه - Garmyan,Directorate of Outskirts Waters - Garmyan,Dirección de Aguas Outskirts - Garmyan
Arche Nova Organization,Arche Nova Organisation,Arche Nova Organization,Arche Nova Organization,Organización Arche Nova
Harikar Organization,Organisation Harikar,منظمة هاريكار,Harikar Organization,Organización de Harikar
Global Yazidi Organization,Organisation mondiale de Yazidi,منظمة اليزيدى العالمية,Global Yazidi Organization,Organización Global Yazidi
Emma Organization,Organisation EMMA,منظمة إيما,Emma Organization,Organización EMMA
Action Contre La Faim,Action contre la préfare,العمل كونت لا فييم,Action against Hunger,Acción contra el hambre
Directorate of Outskirts Waters - Duhok,Direction des eaux de périphérie - Duhok,مديرية مشارف المياه - دهوك,Directorate of Outskirts Waters - Duhok,Dirección de Aguas Outskirts - Duhok
Directorate of Health - Duhok,Direction de la santé - Duhok,مديرية الصحة - دهوك,Directorate of Health - Duhok,Dirección de Salud - Duhok
Elisecare,Élisse,elisecare.,ELISECARE,Elisecare
Directorate of Outskirts Waters - Duhok,Direction des eaux de périphérie - Duhok,مديرية مشارف المياه - دهوك,Directorate of Outskirts Waters - Duhok,Dirección de Aguas Outskirts - Duhok
Jesuit Refugee Service,Service de réfugié jésuite,خدمة اللاجئين اليسوعية,Jesuit Refugee Service,Servicio Jesuita de Refugiados
Heevie Kurdistan Development Organization,Heevie Kurdistan Organisation de développement,هيسي كردستان للتنمية,Heevie Kurdistan Development Organization,Organización de Desarrollo de Heevie Kurdistan
Directorate of Health - Duhok,Direction de la santé - Duhok,مديرية الصحة - دهوك,Directorate of Health - Duhok,Dirección de Salud - Duhok
Directorate of Outskirts Waters - Duhok,Direction des eaux de périphérie - Duhok,مديرية مشارف المياه - دهوك,Directorate of Outskirts Waters - Duhok,Dirección de Aguas Outskirts - Duhok
Directorate of Health - Duhok,Direction de la santé - Duhok,مديرية الصحة - دهوك,Directorate of Health - Duhok,Dirección de Salud - Duhok
Directorate of Outskirts Waters - Duhok,Direction des eaux de périphérie - Duhok,مديرية مشارف المياه - دهوك,Directorate of Outskirts Waters - Duhok,Dirección de Aguas Outskirts - Duhok
Malteser International,Malteser International,مالتيسير الدولية,Malteser International,Malteser Internacional
Step-In Project for Iraq In Need,Projet interne pour l'Irak dans le besoin,مشروع خطوة للعراق في حاجة,STEP-IN PROJECT FOR IRAQ IN NEED,Proyecto de paso para Irak en necesidad
Ministry of Displacement and Migration,Ministère des déplacements et de la migration,وزارة النزوح والهجرة,Ministry of Displacement and Migration,Ministerio de desplazamiento y migración.
Foundation of United for Relief and Sustainable Development,Fondation de United pour le soulagement et le développement durable,مؤسسة المتحدة للإغاثة والتنمية المستدامة,Foundation of United For Relief and Sustainable Development,Fundación de United for Relief y desarrollo sostenible.
Blumont  Organization,Organisation blumont,منظمة بلومونت,Blumont Organization,Organización BluMont
Critical Needs Support Foundation,Fonds de soutien aux besoins critiques,مؤسسة دعم الاحتياجات الهامة,Critical Needs Support Foundation,Fundación de apoyo para necesidades críticas
Norwegian Church Aid,Aide norvégienne de l'église,المساعدات الكنيسة النرويجية,Norwegian Church Aid,Ayuda de la iglesia noruega
Canadian Aid Organization for Iraqi Society and Rehabilitation,Organisation de l'aide canadienne pour la société irakienne et la réhabilitation,منظمة المساعدات الكندية للمجتمع العراقي وإعادة التأهيل,Canadian Aid Organization for Iraqi Society and Rehabilitation,Organización de ayuda canadiense para la sociedad iraquí y la rehabilitación.
Canadian Aid Organization for Iraqi Society and Rehabilitation,Organisation de l'aide canadienne pour la société irakienne et la réhabilitation,منظمة المساعدات الكندية للمجتمع العراقي وإعادة التأهيل,Canadian Aid Organization for Iraqi Society and Rehabilitation,Organización de ayuda canadiense para la sociedad iraquí y la rehabilitación.
Lutherian World Federation,Fédération mondiale luthérienne,الاتحاد العالمي اللوديريان,LUTHERIAN WORLD FEDERATION,Federación Mundial Luterica
French Red Cross,Croix-Rouge française,الفرنسية الصليب الأحمر,FRENCH RED CROSS,Cruz Roja Francesa
Mission East Organization,Mission Organisation East,منظمة مهمة الشرق,East Organization Mission,Misión de Organización Oriental
Cordaid Organization,Organisation Cordaid,منظمة كورداد,Cordaid Organization,Organización Cordaid
Action Contre La Faim,Action contre la préfare,العمل كونت لا فييم,Action against Hunger,Acción contra el hambre
Triangle GH,Triangle GH,مثلث gh.,Triangle GH,Triangle GH
Justice Center Iraq,Centre de justice Irak,مركز العدالة العراق,Justice Center Iraq,Centro de justicia Irak
Jannat Al-Firdaws,Jannat al-Firdaws,جنان العربد,Jannat al-Firdws,Jannat al-firdws
Al-Rakeezeh Organization,Organisation al-rakeezeh,منظمة الحمري,Al-Rakeezeh Organization,Organización Al-Rakeezeh
ZOA International,ZOA International,زوا الدولية,ZOA INTERNATIONAL,ZOA INTERNATIONAL
The United Iraqi Medical Society,La Société médicale irakienne unie,الجمعية الطبية العراقية المتحدة,THE UNITED IRAQI MEDICAL SOCIETY,La sociedad médica iraquí unida
Justice Gate Organization,Organisation de la porte de la justice,منظمة البوابة العدالة,Justice Gate Organization,Organización de la Puerta de Justicia
Civil Development Organization,Organisation de développement civil,منظمة التنمية المدنية,Civil Development Organization,Organización de Desarrollo Civil
Qatar Red Crescent,Croissant-Rouge Qatar,الهلال الأحمر القطر,Qatar Red Crescent,Qatar Red Crescent
Mission East Organization,Mission Organisation East,منظمة مهمة الشرق,East Organization Mission,Misión de Organización Oriental
Viyan Organization,Organisation Viyan,منظمة Viyan,VIYAN ORGANIZATION,Organización Viyan
Shareteah Organization,Organisation Shareteah,منظمة شاريتية,Sharetah Organization,Organización de ShareTah
Polish Humanitarian Organization,Organisation humanitaire polonaise,منظمة إنسانية بولندية,Polish Humanitarian Organization,Organización humanitaria polaca
Amalna Foundation for Community Building,Fondation Amalna pour le bâtiment communautaire,مؤسسة أمالنا لبناء المجتمع,Amalna Foundation for Community Building,Fundación Amalna para el edificio comunitario.
Amalna Foundation for Community Building,Fondation Amalna pour le bâtiment communautaire,مؤسسة أمالنا لبناء المجتمع,Amalna Foundation for Community Building,Fundación Amalna para el edificio comunitario.
Zakho Small Villages Projects,Zakho petits villages projets,مشاريع قرى زاخو الصغيرة,Zakho Small Villages Projects,Proyectos de pequeños pueblos de Zakho
Nonviolent Peaceforce,Peaceforce non violente,pailforce غير عنيف,Nonviolent Peaceforce,Fuerza de paz no violenta
Dijla Agricultural Association,Association agricole de Dijla,جمعية ديجلاء الزراعية,Dijla Agricultural Association,Asociación Agrícola de DIJLA
Cooperazione Internazionale,Coopérazione internazionaleale,cooperazione internazionale.,Internazionale Cooperazione,Internazionale cooperazione
Justice Gate Organization,Organisation de la porte de la justice,منظمة البوابة العدالة,Justice Gate Organization,Organización de la Puerta de Justicia
Samaritan Purse,Sac à main Samaritain,محفظة السامرية,Samaritan Purse,Bolso samaritano
Al-Aghsan Foundation,Fondation Al-Aghsan,مؤسسة آغسان,AL-AGHSAN FOUNDATION,Fundación Al-Aghsan
Sorouh for Sustainable Development Foundation,Sorouh pour la fondation du développement durable,صروح مؤسسة التنمية المستدامة,SOROUH FOR SUSTAINABLE DEVELOPMENT FOUNDATION,Sorouh para la Fundación de Desarrollo Sostenible
Near East Foundation,Près de la Fondation EST,مؤسسة الشرق القريبة,Near East Foundation,Cerca de la Fundación East
Point Organization,Organisation du point,تنظيم نقطة,Organization Point,Punto de organización
Sewan Women,Femmes de lawacan,المرأة المنظمة,SEWAN WOMEN,Mujeres deusanas
Emma Organization,Organisation EMMA,منظمة إيما,Emma Organization,Organización EMMA
Sewan Women,Femmes de lawacan,المرأة المنظمة,SEWAN WOMEN,Mujeres deusanas
Sewan Women,Femmes de lawacan,المرأة المنظمة,SEWAN WOMEN,Mujeres deusanas
Kurdistan Reconstruction and Development Society,Kurdistan Reconstruction et Development Society,مجتمع إعادة الإعمار والتنمية الكردستاني,Kurdistan Reconstruction and Development Society,Sociedad de Reconstrucción y Desarrollo de Kurdistán.
Kurdistan Reconstruction and Development Society,Kurdistan Reconstruction et Development Society,مجتمع إعادة الإعمار والتنمية الكردستاني,Kurdistan Reconstruction and Development Society,Sociedad de Reconstrucción y Desarrollo de Kurdistán.
Christian Aid Program Nohadra-Iraq,Programme d'aide chrétienne Nohadra-Irak,برنامج المساعدات المسيحية Nohadra-Iraq,Christian Aid Program Nohara-Iraq,Programa de Ayuda Cristiana Nohara-Iraq
Seed Foundation,Fondation de semences,مؤسسة البذور,SEED FOUNDATION,Fundación de semillas
Elisecare,Élisse,elisecare.,ELISECARE,Elisecare
Directorate of Health - Erbil,Direction de la santé - Erbil,مديرية الصحة - أربيل,Directorate of Health - Erbil,Dirección de Salud - Erbil
Directorate of Health - Erbil,Direction de la santé - Erbil,مديرية الصحة - أربيل,Directorate of Health - Erbil,Dirección de Salud - Erbil
Qatar Red Crescent,Croissant-Rouge Qatar,الهلال الأحمر القطر,Qatar Red Crescent,Qatar Red Crescent
Danish Refugee Council,Conseil de réfugié danois,مجلس اللاجئين الدانمركي,Danish refugee council,Consejo Danés de Refugiados
Médecins du Monde,Médecins du Monde,médecins du monde.,Doctors of the World,Médicos del mundo
Viyan Organization,Organisation Viyan,منظمة Viyan,VIYAN ORGANIZATION,Organización Viyan
Solidarités Internatinal,Solidarités internationales,solidarités Internatinal.,Internatial solidarity,Solidaridad Internacional
Canadian Aid Organization for Iraqi Society and Rehabilitation,Organisation de l'aide canadienne pour la société irakienne et la réhabilitation,منظمة المساعدات الكندية للمجتمع العراقي وإعادة التأهيل,Canadian Aid Organization for Iraqi Society and Rehabilitation,Organización de ayuda canadiense para la sociedad iraquí y la rehabilitación.
Representative of Nineveh Voluntary for IDPs,Représentant de neufveh volontaire pour les personnes déplacées,ممثل نينوى الطوعية للنازحين,Representative of Nineveh Voluntary for Idps,Representante de Nínive Voluntario para IDP.
Dijla Agricultural Association,Association agricole de Dijla,جمعية ديجلاء الزراعية,Dijla Agricultural Association,Asociación Agrícola de DIJLA
Tutapona Organization,Organisation tutapona,تنظيم Tutapona,Tutapona Organization,Organización de Tutapona
The Lotus Flower,La fleur de lotus,زهرة اللوتس,The Lotus Flower,La flor de loto
Critical Needs Support Foundation,Fonds de soutien aux besoins critiques,مؤسسة دعم الاحتياجات الهامة,Critical Needs Support Foundation,Fundación de apoyo para necesidades críticas
Jannat Al-Firdaws,Jannat al-Firdaws,جنان العربد,Jannat al-Firdws,Jannat al-firdws
Al-Mortaqa Foundation,Fondation Al-Mortaqa,مؤسسة المواطقة,Al-Mortaqa Foundation,Fundación al-Mortaqa
International Federation of Medical Students Associations,Fédération internationale des associations d'étudiants en médecine,الاتحاد الدولي لرابطات طلاب الطب,International Federation of Medical Students Associations,Federación Internacional de Asociaciones de Estudiantes Médicos.
UM Al-Yateem for Development Foundation,Um al-yateem pour la fondation de développement,مؤسسة ام التسيم للتنمية,UM al-Yateem for Development Foundation,Um al-Yateem para la Fundación de Desarrollo
International Federation of Medical Students Associations,Fédération internationale des associations d'étudiants en médecine,الاتحاد الدولي لرابطات طلاب الطب,International Federation of Medical Students Associations,Federación Internacional de Asociaciones de Estudiantes Médicos.
International Federation of Medical Students Associations,Fédération internationale des associations d'étudiants en médecine,الاتحاد الدولي لرابطات طلاب الطب,International Federation of Medical Students Associations,Federación Internacional de Asociaciones de Estudiantes Médicos.
Mine Action Group,Groupe d'action minière,مجموعة الإجراءات المتعلقة بالألغام,MINE ACTION GROUP,Grupo de acción mina
Mine Action Group,Groupe d'action minière,مجموعة الإجراءات المتعلقة بالألغام,MINE ACTION GROUP,Grupo de acción mina
Mine Action Group,Groupe d'action minière,مجموعة الإجراءات المتعلقة بالألغام,MINE ACTION GROUP,Grupo de acción mina
Mine Action Group,Groupe d'action minière,مجموعة الإجراءات المتعلقة بالألغام,MINE ACTION GROUP,Grupo de acción mina
Heartland Alliance International,Heartland Alliance International,قلب التحالف الدولي,Heartland Alliance International,Heartland Alliance International
The Lotus Flower,La fleur de lotus,زهرة اللوتس,The Lotus Flower,La flor de loto
Goal Organization,Organisation de but,منظمة الهدف,Goal Organization,Organización para objetivos
Association of Volunteers in International Service,Association des volontaires dans le service international,جمعية المتطوعين في الخدمة الدولية,Association of Volunteers in International Service,Asociación de Voluntarios en Servicio Internacional.
Association of Volunteers in International Service,Association des volontaires dans le service international,جمعية المتطوعين في الخدمة الدولية,Association of Volunteers in International Service,Asociación de Voluntarios en Servicio Internacional.
Association of Volunteers in International Service,Association des volontaires dans le service international,جمعية المتطوعين في الخدمة الدولية,Association of Volunteers in International Service,Asociación de Voluntarios en Servicio Internacional.
Médecins du Monde,Médecins du Monde,médecins du monde.,Doctors of the World,Médicos del mundo
Goal Organization,Organisation de but,منظمة الهدف,Goal Organization,Organización para objetivos
Goal Organization,Organisation de but,منظمة الهدف,Goal Organization,Organización para objetivos
Malteser International,Malteser International,مالتيسير الدولية,Malteser International,Malteser Internacional
Directorate of Health - Erbil,Direction de la santé - Erbil,مديرية الصحة - أربيل,Directorate of Health - Erbil,Dirección de Salud - Erbil
Al-Miezan Association for Human Rights development,Association Al-Miezan pour le développement des droits de l'homme,جمعية الميزان لتنمية حقوق الإنسان,Al-Miezan Association for Human Rights Development,Asociación de Al-Miezan para el desarrollo de los derechos humanos.
Triangle GH,Triangle GH,مثلث gh.,Triangle GH,Triangle GH
Polish Humanitarian Organization,Organisation humanitaire polonaise,منظمة إنسانية بولندية,Polish Humanitarian Organization,Organización humanitaria polaca
Nonviolent Peaceforce,Peaceforce non violente,pailforce غير عنيف,Nonviolent Peaceforce,Fuerza de paz no violenta
Jiyan Foundation,Jiyan Foundation,مؤسسة جيان,Jiyan Foundation,Fundación Jiyan
Mission East Organization,Mission Organisation East,منظمة مهمة الشرق,East Organization Mission,Misión de Organización Oriental
Arbeiter Samariter Bund,Arbeiter Samariter Bund,Arbeiter Samariter Bund.,Arbeiter Samariter Bund,Arbeiter Samariter Bund
Mercy Hands,Mercy mains,الرحمة اليدين,MERCY HANDS,Manos de misericordia
Voice of Older People,Voix des personnes âgées,صوت كبار السن,Voice of Older People,Voz de personas mayores
Directorate of Labour & Social Affairs - Erbil,Direction du travail et des affaires sociales - Erbil,مديرية العمل والشؤون الاجتماعية - أربيل,Directorate of Labor & Social Affairs - Erbil,Dirección de Trabajo y Asuntos Sociales - Erbil
Directorate of Labour & Social Affairs - Erbil,Direction du travail et des affaires sociales - Erbil,مديرية العمل والشؤون الاجتماعية - أربيل,Directorate of Labor & Social Affairs - Erbil,Dirección de Trabajo y Asuntos Sociales - Erbil
cooperazione e sviluppo,cooperazione e sviluppo,Cooperazione e sviluppo.,COOPERAZIONE E SVILUPO,Cooperazione e svilupo
International Federation of Medical Students Associations,Fédération internationale des associations d'étudiants en médecine,الاتحاد الدولي لرابطات طلاب الطب,International Federation of Medical Students Associations,Federación Internacional de Asociaciones de Estudiantes Médicos.
Al-Miezan Association for Human Rights development,Association Al-Miezan pour le développement des droits de l'homme,جمعية الميزان لتنمية حقوق الإنسان,Al-Miezan Association for Human Rights Development,Asociación de Al-Miezan para el desarrollo de los derechos humanos.
Zakho Small Villages Projects,Zakho petits villages projets,مشاريع قرى زاخو الصغيرة,Zakho Small Villages Projects,Proyectos de pequeños pueblos de Zakho
Iraq Health Access Organization,Oraq Health Access Organization,منظمة الوصول الصحية في العراق,Iraq Health Access Organization,Organización de acceso a la salud de Irak
Bent Al-Rafedain Organization,Organisation Bent Al-Rafedain,منظمة عازمة الرافدين,Bent al-Salesland Organization,Organización Bent al-Salesland
Jannat Al-Firdaws,Jannat al-Firdaws,جنان العربد,Jannat al-Firdws,Jannat al-firdws
Bent Al-Rafedain Organization,Organisation Bent Al-Rafedain,منظمة عازمة الرافدين,Bent al-Salesland Organization,Organización Bent al-Salesland
Bent Al-Rafedain Organization,Organisation Bent Al-Rafedain,منظمة عازمة الرافدين,Bent al-Salesland Organization,Organización Bent al-Salesland
Al-Rakeezeh Organization,Organisation al-rakeezeh,منظمة الحمري,Al-Rakeezeh Organization,Organización Al-Rakeezeh
Kurdistan Save the Children,Kurdistan sauver les enfants,كردستان تنقذ الأطفال,Kurdistan Save the Children,Kurdistán salva a los niños
Emergency Organization,Organisation d'urgence,منظمة الطوارئ,EMERGENCY ORGANIZATION,Organización de emergencia
Social Transformation and Educational Prosperity,Transformation sociale et prospérité éducative,التحول الاجتماعي والازدهار التعليمي,Social Transformation and Educational Prosperity,Transformación social y prosperidad educativa.
Tajdid Organization,Organisation Tajdid,تنظيم طاجيد,Tajdid Organization,Organización Tajdid
Sewan Women,Femmes de lawacan,المرأة المنظمة,SEWAN WOMEN,Mujeres deusanas
Human Appeal,Attrait humain,استئناف بشري,Human appeal,Atractivo humano
Kurdistan Reconstruction and Development Society,Kurdistan Reconstruction et Development Society,مجتمع إعادة الإعمار والتنمية الكردستاني,Kurdistan Reconstruction and Development Society,Sociedad de Reconstrucción y Desarrollo de Kurdistán.
Directorate of Labour & Social Affairs - Erbil,Direction du travail et des affaires sociales - Erbil,مديرية العمل والشؤون الاجتماعية - أربيل,Directorate of Labor & Social Affairs - Erbil,Dirección de Trabajo y Asuntos Sociales - Erbil
Pena Center for Combating Violence against Women,Pena Center pour lutter contre la violence à l'égard des femmes,مركز بينا لمكافحة العنف ضد المرأة,PENA CENTER for Combating Violence Against Women,Peña Centro para combatir la violencia contra las mujeres.
Viyan Organization,Organisation Viyan,منظمة Viyan,VIYAN ORGANIZATION,Organización Viyan
Polish Humanitarian Organization,Organisation humanitaire polonaise,منظمة إنسانية بولندية,Polish Humanitarian Organization,Organización humanitaria polaca
Cooperazione Internazionale,Coopérazione internazionaleale,cooperazione internazionale.,Internazionale Cooperazione,Internazionale cooperazione
Arbeiter Samariter Bund,Arbeiter Samariter Bund,Arbeiter Samariter Bund.,Arbeiter Samariter Bund,Arbeiter Samariter Bund
Baghdad Organization Mines,BAGDAD ORGANISATION MINES,منظمة بغداد المناجم,Baghdad Organization Mines,Bagdad organización minas
Preemptive Love Coalition,Coalition d'amour préventive,تحالف الحب الوقائي,Preemptive Love Coalition,Coalición de amor preventiva
World Food Programme,Programme alimentaire mondial,برنامج الأغذية العالمي,World Food Program,Programa Mundial de Alimentos
Emma Organization,Organisation EMMA,منظمة إيما,Emma Organization,Organización EMMA
Directorate of Labour & Social Affairs - Erbil,Direction du travail et des affaires sociales - Erbil,مديرية العمل والشؤون الاجتماعية - أربيل,Directorate of Labor & Social Affairs - Erbil,Dirección de Trabajo y Asuntos Sociales - Erbil
Ministry of Displacement and Migration,Ministère des déplacements et de la migration,وزارة النزوح والهجرة,Ministry of Displacement and Migration,Ministerio de desplazamiento y migración.
Kurdistan Relief Association,Association de secours de Kurdistan,جمعية إغاثة كردستان,KURDISTAN RELIEF Association,Asociación de Alivio de Kurdistán
Kurdistan Relief Association,Association de secours de Kurdistan,جمعية إغاثة كردستان,KURDISTAN RELIEF Association,Asociación de Alivio de Kurdistán
Pena Center for Combating Violence against Women,Pena Center pour lutter contre la violence à l'égard des femmes,مركز بينا لمكافحة العنف ضد المرأة,PENA CENTER for Combating Violence Against Women,Peña Centro para combatir la violencia contra las mujeres.
Viyan Organization,Organisation Viyan,منظمة Viyan,VIYAN ORGANIZATION,Organización Viyan
Woman Leadership Institute,Institut de la Femme Leadership,معهد قيادة المرأة,Woman Leadership Institute,Instituto de Liderazgo de Mujer
Caritas Iraq Organization,Caritas Irak Organisation,منظمة كاريتاس للعراق,Caritas Iraq Organization,Organización CARITAS IRAK
War Child - UK,Guerre enfant - Royaume-Uni,حرب الطفل - المملكة المتحدة,War Child - UK,Niño de la guerra - Reino Unido
Near East Foundation,Près de la Fondation EST,مؤسسة الشرق القريبة,Near East Foundation,Cerca de la Fundación East
Baghdad Organization Mines,BAGDAD ORGANISATION MINES,منظمة بغداد المناجم,Baghdad Organization Mines,Bagdad organización minas
Ministry of Labor and Social Affairs,Ministère du travail et des affaires sociales,وزارة العمل والشؤون الاجتماعية,Ministry of Labor and Social Affairs,Ministerio de Trabajo y Asuntos Sociales.
Norweigan Refugee Council,Conseil de réfugié Norweigan,مجلس اللاجئين نورويغان,Norweigan Refugee Council,Consejo de Refugiados de Norweigan
Goal Organization,Organisation de but,منظمة الهدف,Goal Organization,Organización para objetivos
Woman Leadership Institute,Institut de la Femme Leadership,معهد قيادة المرأة,Woman Leadership Institute,Instituto de Liderazgo de Mujer
Sama Al Iraq for Relief and Development,Sama Al Irak pour le soulagement et le développement,سما العراق للإغاثة والتنمية,Sama Al Iraq for Relief and Development,Sama Al Irak para alivio y desarrollo
International Volunteers of Yamagata,Volontaires internationaux de Yamagata,المتطوعون الدوليين في Yamagata,International Volunteers of Yamagata,Voluntarios internacionales de Yamagata.
Help Hilfe zur Selbsthilfe e.V.,HELP HILFE ZUR SELBSTHILFE E.V.,مساعدة هيلفي zur selbsthilfe e.v.,HELP HILFE ZUR SELBSTHILFE E.V.,Ayuda a Hilfe Zur Selbsthilfe E.V.
Welt Hunger Hilfe,Welt Hunger Hilfe,فيلت جوع هيلف,Welt Hunger Hilfe,Welt Hunger Hilfe
Skilled Iraqi Women Foundation,Fondation irakienne qualifiée,مؤسسة المرأة العراقية الماهرة,Skilled Iraqi Women Foundation,Fundación hábil iraquí de mujeres
Skilled Iraqi Women Foundation,Fondation irakienne qualifiée,مؤسسة المرأة العراقية الماهرة,Skilled Iraqi Women Foundation,Fundación hábil iraquí de mujeres
Ministry of Labor and Social Affairs,Ministère du travail et des affaires sociales,وزارة العمل والشؤون الاجتماعية,Ministry of Labor and Social Affairs,Ministerio de Trabajo y Asuntos Sociales.
Preemptive Love Coalition,Coalition d'amour préventive,تحالف الحب الوقائي,Preemptive Love Coalition,Coalición de amor preventiva
International Volunteers of Yamagata,Volontaires internationaux de Yamagata,المتطوعون الدوليين في Yamagata,International Volunteers of Yamagata,Voluntarios internacionales de Yamagata.
Help Hilfe zur Selbsthilfe e.V.,HELP HILFE ZUR SELBSTHILFE E.V.,مساعدة هيلفي zur selbsthilfe e.v.,HELP HILFE ZUR SELBSTHILFE E.V.,Ayuda a Hilfe Zur Selbsthilfe E.V.
Access Aid Foundation,Fondation d'aide à accès,وصول مؤسسة المعونة,Access Aid Foundation,Fundación Ayuda de Acceso
Help Hilfe zur Selbsthilfe e.V.,HELP HILFE ZUR SELBSTHILFE E.V.,مساعدة هيلفي zur selbsthilfe e.v.,HELP HILFE ZUR SELBSTHILFE E.V.,Ayuda a Hilfe Zur Selbsthilfe E.V.
